City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Quintin,MX,30.4833,-115.95,68.61,27,77,5.79,broken clouds
80,Norman Wells,CA,65.282,-126.8329,17.64,86,100,8.05,light snow
81,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,14.97,broken clouds
82,Sechura,PE,-5.5569,-80.8222,72.97,63,29,14.97,scattered clouds
83,Brae,GB,60.3964,-1.353,44.28,82,100,35.63,light rain
84,Miraflores,MX,19.2167,-98.8083,71.98,49,61,2.62,broken clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,100,16.11,overcast clouds
86,Ponta Do Sol,PT,32.6667,-17.1,70.72,78,65,3.13,broken clouds
87,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,80,75,11.5,broken clouds
88,Pauini,BR,-7.7136,-66.9764,74.1,98,100,0.36,overcast clouds
89,Fortuna,US,40.5982,-124.1573,56.93,77,100,5.75,overcast clouds
90,Tasiilaq,GL,65.6145,-37.6368,37.56,95,100,18.19,light rain
91,Hovd,MN,48.0056,91.6419,21.6,57,61,8.12,broken clouds
92,Westport,US,41.1415,-73.3579,51.1,46,0,11.5,clear sky
93,Grindavik,IS,63.8424,-22.4338,39.15,75,0,13.8,clear sky
94,Mataura,NZ,-46.1927,168.8643,55.47,52,0,6.93,clear sky
95,Bilma,NE,18.6853,12.9164,71.83,15,37,7.65,scattered clouds
96,San Patricio,US,28.017,-97.5169,53.87,81,100,9.86,overcast clouds
97,Georgetown,MY,5.4112,100.3354,80.53,91,40,3.44,scattered clouds
98,Port Blair,IN,11.6667,92.75,78.84,89,75,2.3,mist
99,Jaguarao,BR,-32.5661,-53.3758,70.92,59,40,9.91,scattered clouds
100,Coos Bay,US,43.3665,-124.2179,58.98,89,100,11.5,overcast clouds
101,Kilindoni,TZ,-7.9139,39.6668,79.57,81,1,13.67,clear sky
102,Northam,GB,51.0333,-4.2167,48.25,77,100,16.02,overcast clouds
103,Mahebourg,MU,-20.4081,57.7,75.49,83,40,3.44,scattered clouds
104,Thompson,CA,55.7435,-97.8558,23.16,93,100,2.3,mist
105,Ola,RU,59.5833,151.2833,12.47,74,100,11.54,overcast clouds
106,Nyaunglebin,MM,17.95,96.7333,71.98,86,9,5.12,clear sky
107,Riyadh,SA,24.6877,46.7219,60.94,24,0,3.69,clear sky
108,Imeni Zhelyabova,RU,58.9544,36.5956,24.28,95,100,8.86,light snow
109,Aragarcas,BR,-15.8975,-52.2508,86.65,62,75,8.05,light rain
110,Guerrero Negro,MX,27.9769,-114.0611,73.02,27,8,2.89,clear sky
111,Rio Gallegos,AR,-51.6226,-69.2181,73.45,31,40,18.41,scattered clouds
112,Douglas,US,41.3,-96.167,60.85,25,0,9.22,clear sky
113,Tarauaca,BR,-8.1614,-70.7656,78.66,88,100,2.1,overcast clouds
114,Ballina,AU,-28.8667,153.5667,62.02,78,100,6.26,overcast clouds
115,Alta Floresta,BR,-9.8756,-56.0861,85.82,66,20,5.75,few clouds
116,Malanje,AO,-9.5402,16.341,64.67,97,100,1.83,light rain
117,Caravelas,BR,-17.7125,-39.2481,74.79,82,85,7.02,overcast clouds
118,Albany,US,42.6001,-73.9662,46.81,46,94,2.51,overcast clouds
119,Ferkessedougou,CI,9.6,-5.2,78.01,23,57,4.0,broken clouds
120,Port Hueneme,US,34.1478,-119.1951,80.38,16,0,10.36,clear sky
121,Hasaki,JP,35.7333,140.8333,57.6,64,100,14.74,overcast clouds
122,Esperance,AU,-33.8667,121.9,58.59,65,100,16.51,overcast clouds
