City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,New Norfolk,-42.7826,147.0587,70.92,35,17,7.74,AU,2022-11-19 02:52:54
68,Haines Junction,60.7522,-137.5108,4.95,85,99,0.0,CA,2022-11-19 02:55:12
69,Saint-Pierre,-21.3393,55.4781,71.91,60,0,4.61,RE,2022-11-19 02:55:13
70,San Quintin,30.4833,-115.95,59.36,70,3,4.47,MX,2022-11-19 02:55:14
71,Port Alfred,-33.5906,26.891,61.18,94,100,5.01,ZA,2022-11-19 02:55:15
72,Nabire,-3.3667,135.4833,83.44,81,97,5.12,ID,2022-11-19 02:55:08
73,Goianesia,-15.3175,-49.1175,69.98,89,38,2.89,BR,2022-11-19 02:52:04
74,Mar Del Plata,-38.0023,-57.5575,64.42,95,100,8.99,AR,2022-11-19 02:53:32
75,Shingu,33.7333,135.9833,61.72,45,100,1.92,JP,2022-11-19 02:55:15
76,Tezu,27.9167,96.1667,73.96,31,0,1.72,IN,2022-11-19 02:55:16
77,Contai,21.7786,87.7536,71.44,42,99,12.55,IN,2022-11-19 02:55:16
78,Nova Olimpia,-14.7972,-57.2881,73.2,32,90,2.26,BR,2022-11-19 02:55:16
79,Batagay,67.6333,134.6333,-31.9,100,38,1.43,RU,2022-11-19 02:55:17
80,Port Elizabeth,-33.918,25.5701,63.1,81,0,14.97,ZA,2022-11-19 02:55:17
81,Hermanus,-34.4187,19.2345,54.81,79,26,13.09,ZA,2022-11-19 02:55:18
82,Sabha,27.0377,14.4283,62.64,24,9,8.63,LY,2022-11-19 02:55:18
83,Buchanan,5.8808,-10.0467,76.26,85,62,3.31,LR,2022-11-19 02:55:19
84,Butaritari,3.0707,172.7902,81.03,71,17,16.96,KI,2022-11-19 02:55:19
85,Rosarito,32.3333,-117.0333,59.95,68,0,1.66,MX,2022-11-19 02:50:31
86,Lorengau,-2.0226,147.2712,85.08,68,100,5.03,PG,2022-11-19 02:55:19
87,Provideniya,64.3833,-173.3,30.13,90,89,5.86,RU,2022-11-19 02:55:20
88,Douglas,41.3,-96.167,20.75,53,0,10.36,US,2022-11-19 02:55:20
89,Canico,32.6333,-16.85,66.83,74,40,9.22,PT,2022-11-19 02:55:20
90,Yerbogachen,61.2767,108.0108,3.49,83,100,10.38,RU,2022-11-19 02:55:21
91,Vaini,-21.2,-175.2,84.36,79,20,3.44,TO,2022-11-19 02:55:21
92,Simiti,7.9579,-73.9436,75.29,94,99,2.53,CO,2022-11-19 02:55:22
93,Nouadhibou,20.931,-17.0347,69.78,68,0,18.41,MR,2022-11-19 02:56:22
94,Ikom,5.9667,8.7063,73.92,89,66,1.14,NG,2022-11-19 02:56:22
95,Novopskov,49.5464,39.0899,30.09,85,100,8.59,UA,2022-11-19 02:56:23
96,Pangnirtung,66.1451,-65.7125,0.46,67,64,7.05,CA,2022-11-19 02:52:58
97,Matamoros,25.5333,-103.25,57.11,61,100,2.73,MX,2022-11-19 02:56:23
98,Batagay-Alyta,67.8006,130.4114,-21.03,86,82,3.76,RU,2022-11-19 02:56:24
99,Khatanga,71.9667,102.5,-27.36,96,100,5.88,RU,2022-11-19 02:56:24
100,East London,-33.0153,27.9116,62.94,91,100,16.67,ZA,2022-11-19 02:56:25
101,Nanortalik,60.1432,-45.2371,26.91,84,99,7.25,GL,2022-11-19 02:56:25
102,Amaigbo,5.7892,7.8383,73.44,94,10,3.51,NG,2022-11-19 02:56:26
103,Najran,17.4924,44.1277,57.85,32,0,1.3,SA,2022-11-19 02:54:20
104,Yellowknife,62.456,-114.3525,25.32,80,75,3.44,CA,2022-11-19 02:56:02
105,Yenagoa,4.9247,6.2642,75.27,94,8,2.33,NG,2022-11-19 02:56:26
106,Itoman,26.1247,127.6694,80.62,78,20,8.05,JP,2022-11-19 02:47:39
107,Rawson,-43.3002,-65.1023,66.45,63,6,11.72,AR,2022-11-19 02:56:27
108,Dalnegorsk,44.5604,135.5701,39.16,57,55,2.04,RU,2022-11-19 02:56:27
109,Campina Grande Do Sul,-25.3056,-49.0553,57.4,99,38,2.71,BR,2022-11-19 02:56:27
110,Saldanha,-33.0117,17.9442,51.85,79,1,6.11,ZA,2022-11-19 02:56:28
111,Bluff,-46.6,168.3333,60.26,75,57,23.62,NZ,2022-11-19 02:52:48
112,Itagi,-14.1628,-40.0061,69.33,99,100,1.45,BR,2022-11-19 02:56:28
113,Burnie,-41.0667,145.9167,57.94,76,100,13.96,AU,2022-11-19 02:56:29
114,Manuk Mangkaw,4.8,119.85,82.35,79,93,19.51,PH,2022-11-19 02:56:29
115,Leshukonskoye,64.8989,45.7622,4.33,98,63,2.37,RU,2022-11-19 02:56:29
116,Valdivia,-39.8142,-73.2459,51.89,95,3,1.81,CL,2022-11-19 02:52:30
117,Sinnamary,5.3833,-52.95,78.91,82,18,10.71,GF,2022-11-19 02:47:44
118,Yomou,7.5603,-9.2653,65.16,73,95,1.23,GN,2022-11-19 02:56:30
119,Barrow,71.2906,-156.7887,27.55,89,100,21.07,US,2022-11-19 02:53:04
120,Vanimo,-2.6741,141.3028,86.45,66,98,7.23,PG,2022-11-19 02:56:30
121,Port-Gentil,-0.7193,8.7815,78.78,83,100,12.75,GA,2022-11-19 02:56:30
122,Hibbing,47.4272,-92.9377,11.8,79,100,9.22,US,2022-11-19 02:55:34
123,Lebu,-37.6167,-73.65,55.4,86,70,14.52,CL,2022-11-19 02:56:31
124,Takhtamygda,54.1,123.5667,18.54,92,100,10.27,RU,2022-11-19 02:56:31
125,Upernavik,72.7868,-56.1549,9.3,88,99,19.19,GL,2022-11-19 02:56:32
126,Ketchikan,55.3422,-131.6461,36.93,65,99,3.2,US,2022-11-19 02:54:10
127,Alofi,-19.0595,-169.9187,82.29,65,40,11.5,NU,2022-11-19 02:56:32
128,Grindavik,63.8424,-22.4338,41.47,81,40,11.5,IS,2022-11-19 02:52:14
129,Porgera,-5.4667,143.2,50.04,92,100,2.19,PG,2022-11-19 02:56:32
130,Labuhan,-6.8844,112.2051,79.18,77,100,2.15,ID,2022-11-19 02:56:33
131,Yulara,-25.2406,130.9889,86.52,16,10,16.31,AU,2022-11-19 02:56:33
132,Pacific Grove,36.6177,-121.9166,55.54,83,0,3.44,US,2022-11-19 02:51:37
133,Bayir,37.2687,28.2167,61.32,94,23,7.43,TR,2022-11-19 02:56:33
134,Sibolga,1.7427,98.7792,82.78,70,99,2.66,ID,2022-11-19 02:57:34
135,Isangel,-19.55,169.2667,86.11,84,75,4.61,VU,2022-11-19 02:57:34
136,Kaeo,-35.1,173.7833,74.32,72,1,12.95,NZ,2022-11-19 02:57:35
137,Saint-Philippe,-21.3585,55.7679,71.19,66,0,5.68,RE,2022-11-19 02:57:35
138,Morro Bay,35.3658,-120.8499,59.77,53,0,6.33,US,2022-11-19 02:57:35
139,Mount Gambier,-37.8333,140.7667,69.04,65,88,13.42,AU,2022-11-19 02:57:36
140,Arraial Do Cabo,-22.9661,-42.0278,69.87,65,6,3.89,BR,2022-11-19 02:54:32
141,Chokurdakh,70.6333,147.9167,-9.13,98,100,12.28,RU,2022-11-19 02:57:36
142,Ahuimanu,21.4447,-157.8378,80.78,79,25,1.99,US,2022-11-19 02:57:36
143,Catamarca,-28.4696,-65.7852,89.06,30,2,15.08,AR,2022-11-19 02:57:36
144,Ramhormoz,31.28,49.6035,65.79,73,100,5.35,IR,2022-11-19 02:57:37
145,San Patricio,28.017,-97.5169,54.84,77,100,15.57,US,2022-11-19 02:57:37
146,Sorong,-0.8833,131.25,84.81,74,100,11.74,ID,2022-11-19 02:57:37
147,Villa Carlos Paz,-31.4241,-64.4978,80.38,29,0,1.99,AR,2022-11-19 02:57:38
148,Sitka,57.0531,-135.33,41.05,56,100,5.88,US,2022-11-19 02:57:38
149,Olean,42.0776,-78.4297,23.65,73,75,9.22,US,2022-11-19 02:57:38
150,Kahului,20.8947,-156.47,80.96,79,34,14.0,US,2022-11-19 02:55:18
151,Russell,32.3502,-85.1999,40.01,63,57,4.85,US,2022-11-19 02:57:39
152,La Asuncion,11.0333,-63.8628,76.73,94,29,16.11,VE,2022-11-19 02:55:31
153,Natal,-5.795,-35.2094,75.42,83,20,3.44,BR,2022-11-19 02:57:40
154,Ilovlya,49.3033,43.9796,30.16,83,94,3.36,RU,2022-11-19 02:57:40
155,Diu,20.7141,70.9822,74.34,43,0,11.27,IN,2022-11-19 02:57:41
156,Puerto Escondido,15.85,-97.0667,79.0,79,24,4.0,MX,2022-11-19 02:57:41
157,Pravda,46.9396,142.009,38.84,62,83,2.04,RU,2022-11-19 02:57:41
158,Jashpurnagar,22.9,84.15,62.82,49,44,4.07,IN,2022-11-19 02:57:41
159,Japura,-0.3167,102.35,84.56,67,100,5.21,ID,2022-11-19 02:57:42
160,Port Blair,11.6667,92.75,82.94,72,43,10.42,IN,2022-11-19 02:57:42
161,Iqaluit,63.7506,-68.5145,19.13,79,75,6.91,CA,2022-11-19 02:53:25
162,Thompson,55.7435,-97.8558,-2.04,71,40,12.66,CA,2022-11-19 02:57:42
163,Fort Nelson,58.8053,-122.7002,-0.81,85,0,3.44,CA,2022-11-19 02:53:06
164,Saskylakh,71.9167,114.0833,-31.54,98,65,6.53,RU,2022-11-19 02:57:43
165,Pertuis,43.6925,5.5028,48.18,78,75,4.21,FR,2022-11-19 02:57:43
166,Hoquiam,46.9809,-123.8893,45.01,66,10,8.05,US,2022-11-19 02:57:43
167,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,43,0,2.24,RU,2022-11-19 02:57:44
168,Turtas,58.9417,69.1325,8.49,94,100,7.02,RU,2022-11-19 02:57:44
169,Vijayapuri,11.2333,77.5,70.7,68,86,4.59,IN,2022-11-19 02:57:45
170,Sakakah,29.9697,40.2064,54.97,64,69,9.57,SA,2022-11-19 02:57:45
171,Longhua,23.6137,114.1919,85.98,51,5,3.44,CN,2022-11-19 02:57:45
172,Ribeira Grande,38.5167,-28.7,65.77,72,85,14.0,PT,2022-11-19 02:57:46
173,Maxixe,-23.8597,35.3472,72.37,84,80,10.25,MZ,2022-11-19 02:55:10
174,Hofn,64.2539,-15.2082,42.69,82,52,2.37,IS,2022-11-19 02:57:46
175,Yafran,32.0633,12.5286,58.06,51,0,11.01,LY,2022-11-19 02:57:46
176,Coquimbo,-29.9533,-71.3436,58.73,94,100,3.44,CL,2022-11-19 02:57:47
177,Eresos,39.1667,25.9333,65.89,87,39,24.65,GR,2022-11-19 02:57:47
178,Chapais,49.7834,-74.8492,8.38,94,100,6.24,CA,2022-11-19 02:57:48
179,Phangnga,8.4509,98.5298,82.44,72,85,1.14,TH,2022-11-19 02:57:49
180,Ozernovskiy,51.5,156.5167,29.34,67,9,12.73,RU,2022-11-19 02:58:49
181,Kavieng,-2.5744,150.7967,84.43,65,100,7.09,PG,2022-11-19 02:58:50
182,Tha Mai,12.6214,102.0048,87.96,100,98,4.27,TH,2022-11-19 02:58:51
183,Kalmunai,7.4167,81.8167,77.76,82,99,13.4,LK,2022-11-19 02:58:51
184,Tasiilaq,65.6145,-37.6368,34.03,95,100,25.48,GL,2022-11-19 02:58:51
185,Anadyr,64.75,177.4833,-8.9,84,0,6.71,RU,2022-11-19 02:58:52
186,Saint-Georges,12.0564,-61.7485,80.28,83,20,8.05,GD,2022-11-19 02:58:52
187,Cidreira,-30.1811,-50.2056,68.27,81,3,18.63,BR,2022-11-19 02:58:52
188,Biharamulo,-2.6319,31.3089,60.44,89,98,1.21,TZ,2022-11-19 02:58:52
